,Brewery,County,Full Address,Lat,Lng,State,Zip Code
23,2 Feet Brewing Co.,Penobscot,"80 Columbia St, Bangor ME",44.800248,-68.772909,ME,04401-6319
24,2 Fish,New Castle,"10 W 3rd St, Wilmington DE",39.739821,-75.551745,DE,19801-2427
25,2 Sparky's Taphouse,Marion,"1252 23RD Saint Suite110, Salem OR",44.923139,-123.015105,OR,97302-1363
26,2 Way Brewing Company,Dutchess,"18 W Main St, Beacon NY",41.507948,-73.980693,NY,12508-2512
27,2 Witches Winery Brewing Company,Danville City,"209 Trade St, Danville VA",36.5858,-79.42153,VA,24541-3545
28,218 Bar,Allegheny,"218 W 7th Ave, Tarentum PA",40.599934,-79.761389,PA,15084-1306
29,21st Amendment Brewery,Alameda,"2010 Williams St, San Leandro CA",37.710592,-122.176686,CA,94577-2306
30,224 Nathans/carvel/beers of The World,,"Yankee Stadium, Bronx NY",40.8453,-73.91931,NY,10452
31,"23rd Street Brewery, 23rd St. Brewery",Douglas,"3512 Clinton Pkwy, Lawrence KS",38.942729,-95.280908,KS,66047
32,246 Wine & Brew Tours,Santa Barbara,"300 Crystal Cir, Lompoc CA",34.662205,-120.455027,CA,93436-8400
33,2637brew,Philadelphia,"2637 W Girard Ave, Philadelphia PA",39.97414,-75.180194,PA,19130-1333
34,2kids Brewing Co,San Diego,"8680 Miralani Dr, San Diego CA",32.896228,-117.136768,CA,92126-4353
35,2nd Shift Brewing Co,Franklin County,"101 Cedar Creek Rd, Newhaven MO",38.600844,-91.219534,MO,
36,2nd St Pub,Schuylkill,"219 N 2nd St, Girardville PA",40.79367,-76.283636,PA,17935-1305
37,2nd Story Brewing Co,Philadelphia,"117 Chestnut St, Philadelphia PA",39.948307,-75.143517,PA,19106-3017
38,2nd Street Brewery Milwaukee,Milwaukee,"233 N Water St, Milwaukee WI",43.033447,-87.909122,WI,53202-5707
39,2sp Brewing Co.,Delaware,"120 Concord Rd, Aston PA",39.854563,-75.40344,PA,19014-2903
40,3 Brothers Bistro At The Alpine,Yellowstone,"1116 16th St W, Billings MT",45.781861,-108.556404,MT,59102-4152
41,3 Daughters Brewery,Pinellas,"222 22nd St S, Saint Petersburg FL",27.7686,-82.663026,FL,33712-1240
42,3 Guys & A Beer'd Llc.,Lackawanna,"10 Enterprise Dr, Carbondale PA",41.590328,-75.487186,PA,18407-1880
43,3 Howls Distillery,King,"426 S Massachusetts St, Seattle WA",47.588231,-122.328069,WA,98134-1517
44,3 Sheeps Brewing Company,Sheboygan,"1327 Huron Ave, Sheboygan WI",43.759642,-87.722345,WI,53081-3282
45,3 Stars Brewing Company,District Of Columbia,"6400 Chillum Pl N W, Washington DC",38.967793,-77.012392,DC,20011
46,32 North Brewing Co.,San Diego,"8655 Production Ave, San Diego CA",32.88271,-117.165862,CA,92121-2206
47,32nd Street Pub,Philadelphia,"3200 W Allegheny Ave, Philadelphia PA",40.005322,-75.181863,PA,19132-1016
48,34th Street Discount,Randall,"2514 S W 34th Ave, Amarillo TX",35.178364,-101.863615,TX,79109-4804
49,350 Brewing,Cook,"7144 183rd St, Tinley Park IL",41.55863,-87.791582,IL,60477-3933
50,3rd Turn Brewing,Jefferson,"6511 Glenridge Park Pl 1, Louisville KY",38.285144,-85.630617,KY,40222-3449
51,3rd Wave Brewing Company,Sussex,"Bi State, Delmar DE",38.484558,-75.570259,DE,19940
52,4 Hands Brewing Co.,Saint Louis City,"1220 S 8th St, St Louis MO",38.614984,-90.197875,MO,63104-3610
53,4 Noses Brewing Company,Jefferson,"8855 W 116th Cir, Broomfield CO",39.906092,-105.098323,CO,80021-2521
54,405 Brewing Co,Cleveland,"1716 Topeka Dr, Norman OK",35.25746,-97.468281,OK,73069-8224
55,411 Brewery,Bucks,"411 E Surrey Ct, Sellersville PA",40.356232,-75.295456,PA,18960-2728
56,411 Discount Tobacco and Beer,Blount,"2729 Us Highway 411 S, Maryville TN",35.712507,-84.023821,TN,37801-9547
57,42 North Brewing Co.,Erie,"25 Pine St, E Aurora NY",42.768522,-78.607899,NY,14052-1827
58,45th Parallel Spirits,Saint Croix,"1570 Madison Ave, New Richmond WI",45.103435,-92.550401,WI,54017-6617
59,47 Hills Brewing Company,San Mateo,"137 S Linden Ave, S San Francisco CA",37.644312,-122.413912,CA,94080-6410
60,48th Street Pub,Pierce,"4629 Yakima Ave, Tacoma WA",47.214066,-122.443419,WA,98408-4947
61,49th State Brewing,Anchorage,"717 W 3rd Ave, Anchorage AK",61.219527,-149.895744,AK,99501-2104
62,4th Street Brewing (reported Closed),Multnomah County,"77 Th St, Gresham OR",45.496729,-122.427677,OR,
63,5 B's Inc,Allen,"11517 Arcola Rd, Arcola IN",41.103773,-85.294995,IN,46704-1008
64,5 Rabbit Brewery,Cook,"6398 W 74th St, Bedford Park IL",41.757582,-87.779615,IL,60638-6129
65,5 Seasons Brewing,Fulton County,"1000 Marietta St N W, Atlanta GA",33.778841,-84.409781,GA,30318
66,5 Seasons Brewing Co,Fulton,"5600 Roswell Rd (at The Prado), Sandy Springs GA",33.957725,-84.364882,GA,30342-1103
67,"5 Seasons Brewing Llc, 5 Seasons Brewing",Fulton,"3655 Old Milton Pkwy, Alpharetta GA",34.064232,-84.252514,GA,30005-4487
68,5 Spot 2,Berkeley,"1253 Hedgesville Rd, Martinsburg WV",39.505837,-77.968234,WV,25403-2266
69,5 Spot 3,Berkeley,"4717 Shepherdstown Rd, Martinsburg WV",39.448997,-77.876096,WV,25404-0115
70,51 North Brewery,Oakland,"51 N Broadway, Lake Orion MI",42.785296,-83.239783,MI,48362-3101
71,51 North Brewing Company,Oakland,"51 N Broadway St, Lake Orion MI",42.785296,-83.239783,MI,48362-3101
72,515 Brewing Company,Polk,"7700 University Ave, Clive IA",41.600404,-93.722615,IA,50325-1250
73,"54°40' Brewing Co., 54��40' Brewing Co.",Clark,"3801 S Truman Rd, Washougal WA",45.564537,-122.327478,WA,98671-2582
74,559 Local Brewing,Fresno,"608 4th St, Clovis CA",36.825263,-119.70176,CA,93612-1123
75,57 Brew Pub & Bistro,Montcalm,"1310 W Washington St, Greenville MI",43.177248,-85.272862,MI,48838-2190
76,585rochesterbeer,Monroe,"67 N Main St, Brockport NY",43.218994,-77.93744,NY,14420-1648
77,5th Quadrant,Multnomah,"3901 N Williams Ave, Portland OR",45.551015,-122.666729,OR,97227-1444
78,5th Street Corner Pub Iii,Jefferson,"500 Beecher St, Louisville KY",38.192053,-85.768487,KY,40215-2804
79,612 Brew,Hennepin,"945 Broadway St N E, Minneapolis MN",44.998748,-93.246707,MN,55413-1471
80,635 West Girard Inc,Philadelphia,"635 W Girard Ave, Philadelphia PA",39.970432,-75.147972,PA,19123-1321
81,64 E Liquor,Conway,"2257 Highway 64, Morrilton AR",35.153994,-92.694704,AR,72110-9205
82,6400 Red Sea,Philadelphia,"6400 Vine St, Philadelphia PA",39.967588,-75.247978,PA,19139-1033
83,7 Devils Brewing Co.,Coos,"247 S 2nd St, Coos Bay OR",43.366658,-124.214618,OR,97420
84,7 Hills Brewing Company,Richmond City,"100 S 15th St, Richmond VA",37.533598,-77.431378,VA,23219-4210
85,7 Pinos,El Paso County,"507 513 N W G Ave, Fabens TX",31.507191,-106.152532,TX,
86,7 Seas Brewing & Taproom,Pierce,"3006 Judson St, Gig Harbor WA",47.328005,-122.57955,WA,98335-1226
87,7 Up Bottling Co of Mankato,Nicollet,"1400 Lake St, Northmankato MN",44.18922,-94.020367,MN,56003-2032
88,7 Up Rc Bottling Co,Fresno,"2012 S Pearl St, Fresno CA",36.721925,-119.775055,CA,93721-3312
89,704 Strawberry Cafe Inc,Dauphin,"704 N 3rd St, Harrisburg PA",40.240104,-76.849459,PA,17113-2147
90,75th Street Brewery,Jackson,"520 W 75th St, Kansascity MO",38.992511,-94.596081,MO,64114-1513
91,7-eleven,Nassau,"150 N Main St, Farmingdale NY",40.735274,-73.44618,NY,11735-1938
92,7th Settlement,Strafford,"47 Washington St, Dover NH",43.195143,-70.872351,NH,03820-3877
93,840 Lounge,Franklin,"23 Collingwood Ave, Whitehall OH",39.972857,-82.899207,OH,43213-1701
94,8-bit Aleworks,Maricopa County,"1050 N Fairway Doctor F, Avondale AZ",33.43534,-112.349671,AZ,
95,8one8 Brewing,Los Angeles,"8951 De Soto Ave, Canoga Park CA",34.233721,-118.588536,CA,91304-1968
96,8th St Inn,Clinton,"1107 S 8th St, Clinton IA",41.833827,-90.204025,IA,52732-6339
97,8th Street Ale House,Grays Harbor,"207 8th St, Hoquiam WA",46.977475,-123.883277,WA,98550-2507
98,8th Wonder Brewery,Harris,"2202 Dallas St, Houston TX",29.749133,-95.355631,TX,77003-3519
99,900 Anastasia Llc,Philadelphia,"900 Pratt St, Philadelphia PA",40.030814,-75.092883,PA,19124-1738
100,903 Brewers,Grayson,"1718 S Elm St, Sherman TX",33.615944,-96.606333,TX,75090-8711
101,97.1 The Fan,,"605 S, Columbus OH",39.95302,-82.97002,OH,43205
102,99 Bottles Nanobrewery,Camden,"62 Red Bank Dr, Sicklerville NJ",39.767751,-75.035719,NJ,08081-1072
103,A & G Intl Inc,Ventura,"1235 Flynn Rd, Camarillo CA",34.228354,-119.017932,CA,93012-6213
104,A & L Limousine,Penobscot,"218 State St, Brewer ME",44.786716,-68.753785,ME,04412-1532
105,A and G Homebrew Supply,Rockingham,"175 High St, Portsmouth NH",43.078948,-70.759794,NH,03801-3723
106,A and P Bar and Grill,Bonner,"222 N 1st Ave, Sandpoint ID",48.274688,-116.547751,ID,83864-1402
107,A B S Coffee Repair,Saint Louis,"483 S Kirkwood Rd, Stlouis MO",38.574945,-90.406499,MO,63122-6119
108,A Better Image,Penobscot,"38 Blake St, Brewer ME",44.790264,-68.762311,ME,04412-2022
109,A Brooklyn Brew Experiment,Kings,"12 Mcguinness Blvd S, Brooklyn NY",40.72235,-73.946545,NY,11222-4997
110,A Friends Place Inc,Nassau,"542113 Us Highway 1, Callahan FL",30.559388,-81.825241,FL,32011-8126
111,A J Scott Systems Inc,Penobscot,"162 Parkway S, Brewer ME",44.780041,-68.760662,ME,04412-1645
112,A Plus Plumbing and Heating,New Haven,"550 Island Ln, W Haven CT",41.2636,-72.97546,CT,06516-7515
113,A R Whistle Stop,Stark,"1215 Tuscarawas St W, Canton OH",40.800602,-81.386109,OH,44702-2033
114,A U Liberatore Dds,Penobscot,"219 Chamberlain St, Brewer ME",44.788594,-68.752279,ME,04412-1505
115,A&s Brewing Collaborative Llc,Chittenden,"209 Battery Saint 100, Burlington VT",44.473877,-73.218554,VT,05401-5211
116,A. Nonini Winery,Fresno,"2640 N Dickenson Ave, Fresno CA",36.775781,-119.970046,CA,93723-9644
117,‎batch Brewing Company,Wayne,"1400 Porter St, Detroit MI",42.328333,-83.063203,MI,48216-1934
118,A-1 Window Tinting,Franklin,"112 Medinah Ct, Frankfort KY",38.184345,-84.792094,KY,40601-8663
119,A1a Ale Works,Saint Johns,"1 King St, St. Augustine FL",29.892252,-81.31113,FL,32084-4414
120,Aaa Florida Vending,Lee,"3112 Palm Ave, Fortmyers FL",26.619775,-81.856153,FL,33901-7417
121,Aaa Lock Safe & Security,Penobscot,"55 Center St, Brewer ME",44.797368,-68.762669,ME,04412-2603
122,Abandoned Building Brewery,Hampshire,"42 Pleasant St, Easthampton MA",42.272278,-72.667673,MA,01027-1140
123,Abbey Brewing Co.,Miami-Dade,"1115 16th St, Miami Beach FL",25.788928,-80.140251,FL,33139-2441
124,Abc Fine Wine & Spirits,Clay,"1811 Eastwest Pkwy, Fleming Island FL",30.097345,-81.707486,FL,32003-6348
125,Abc Store,Onslow,"115 Workshop Ln, Jacksonville NC",34.780185,-77.387738,NC,28546-7553
126,Abiff's Pub,Dickson,"3299 Hwy 46 S, Dickson TN",35.976769,-87.315608,TN,37055-3521
127,Abita Brewing Company,Saint Tammany,"21084 Highway 36, Abita Springs LA",30.482636,-90.055521,LA,70433-9200
128,Able Seedhouse + Brewery,Hennepin,"1121 Quincy St N E, Minneapolis MN",45.000513,-93.251231,MN,55413-1570
129,Abnormal Beer Co,San Diego,"16990 Via Tazon, San Diego CA",33.023859,-117.085376,CA,92127-1607
130,Above Beyond Hair Salon,Penobscot,"531 S Main St, Brewer ME",44.770967,-68.780264,ME,04412-2427
131,Absolute Transmission,Penobscot,"39 Sparks Ave, Brewer ME",44.776187,-68.73856,ME,04412-1446
132,Ac Golden Brewing Co,Jefferson,"311 10th St, Golden CO",39.760134,-105.218566,CO,80401-5811
133,Acadia Driving School,Penobscot,"12 Acme Rd, Brewer ME",44.786422,-68.756309,ME,04412-1516
134,Ace Appliance,Penobscot,"166 S Main St, Brewer ME",44.789184,-68.769964,ME,04412-2227
135,Ace of Clubs Tavern,Grays Harbor,"2603 Simpson Ave, Hoquiam WA",46.975231,-123.865042,WA,98550-2928
136,Ace Spades,Summit,"2511 Romig Rd, Akron OH",41.046298,-81.580981,OH,44320-4108
137,Aces High Tavern,Teton,"11 Main St W, Dutton MT",47.848154,-111.715814,MT,59433-9704
138,Acme Liquor Store,Gunnison,"510 Belleview, Crestedbutte CO",38.867063,-106.981636,CO,81224
139,Acoustic Ales Brewing Experiment,San Diego,"1795 Hancock St, San Diego CA",32.742419,-117.184226,CA,92110-2006
140,Acoustic Brewing Co,Grand Traverse,"119 N Maple St, Traversecity MI",44.764741,-85.632944,MI,49684-2238
141,Acton Liquors,Middlesex,"100 Powdermill Rd, Acton MA",42.441808,-71.427122,MA,01720-5912
142,Adams Beverages,Houston,"3116 John D Odom Rd, Dothan AL",31.275945,-85.449908,AL,36303-0936
143,Adams Beverages Inc,Lee,"508 Walker St, Opelika AL",32.650052,-85.357336,AL,36801-8600
144,Adam's Northwest Bistro and Brewery,Snohomish,"104 N Lewis St, Monroe WA",47.855899,-121.970769,WA,98272-1502
145,Adams Street Pub,York,"193 Main St, Biddeford ME",43.493441,-70.455917,ME,04005-2507
146,Adea Wine Co,Washington,"26421 Highway 47, Gaston OR",45.407536,-123.123973,OR,97119-8209
147,Adelaida Cellars Inc,San Luis Obispo,"5805 Adelaida Rd, Paso Robles CA",35.650083,-120.806495,CA,93446-9783
148,Adelbert's Brewery,Travis,"2314 Rutland Dr, Austin TX",30.382214,-97.720479,TX,78758-5236
149,Adirondack Toboggan Company Microbrewery,Saint Lawrence,"202 W A Main St, Gouverneur NY",44.331269,-75.475618,NY,13642-1334
150,Admiral Beverage Aviation,Washakie,"1468 Airport Rd, Worland WY",43.972963,-107.951428,WY,82401-9568
151,Adroit Theory Brewing Company,Loudoun,"404 Browning Ct, Purcellville VA",39.143459,-77.720741,VA,20132-6171
152,Advance Beverage Co,Kern County," Po Box 9517, Bakersfield CA",35.373405,-119.018911,CA,
153,Advanced Beverages,Dallas,"2403 Walnut Ridge St, Dallas TX",32.883909,-96.896892,TX,75229-4529
154,Adventure Brewing Co,Stafford,"33 Perchwood Dr, Fredericksburg VA",38.383867,-77.440898,VA,22405-4516
155,Adventures In Home Brewing,Wayne,"23869 Van Born Rd, Taylor MI",42.269153,-83.268866,MI,48180-1226
156,Aeppeltreow Winery,Racine,"1072 288th Ave, Burlington WI",42.642674,-88.159272,WI,53105-9304
157,Aero Brewing Co,Placer,"140 Cleveland Ave, Auburn CA",38.901173,-121.068052,CA,95603-4801
158,Aerus Electrolux,Penobscot,"413 Wilson St, Brewer ME",44.784406,-68.752225,ME,04412-1521
159,Aftershock Brewing Co.,Riverside,"28822 Old Town Front St, Temecula CA",33.488058,-117.145013,CA,92590-2723
160,Against The Grain Brewery & Smokehouse,Jefferson,"401 E Main St, Louisville KY",38.255337,-85.744827,KY,40202-1110
161,Agate Ridge Vineyards,Jackson,"1098 Nick Young Rd, Eaglepoint OR",42.462198,-122.835275,OR,97524-6582
162,Agrarian Ales,Lane,"31115 W Crossroads Ln, Eugene OR",44.189022,-123.129327,OR,97408-9220
163,Agrarian Ales Brewing Company,Lane,"31115 W Corssroads Ln, Eugene OR",44.189022,-123.129327,OR,97408-9220
164,Agway Inc Farm Supplies,Penobscot,"791 Wilson St, Brewer ME",44.773381,-68.726452,ME,04412-1000
165,Ahnapee Brewery,Kewaunee,"99 Navarino St, Algoma WI",44.608948,-87.435232,WI,54201-1245
166,Aiken Brewing Company,Aiken,"140 Laurens St S W, Aiken SC",33.560348,-81.722922,SC,29801-3848
167,Airline Pharmacy,Penobscot,"405 N Main St, Brewer ME",44.800508,-68.754085,ME,04412-1877
168,Airways Brewing Beer & Bistro,King,"320 W Harrison, Kent WA",47.382213,-122.235835,WA,98032-4488
169,Airways Brewing Co,King,"6644 S 196th St, Kent WA",47.426737,-122.251211,WA,98032-1181
170,Aj's Bar & Grill,Allen,"2488 Getz Rd, Fort Wayne IN",41.06201,-85.219355,IN,46804-1632
171,Akasha Brewing Company,Jefferson,"909 E Market St, Louisville KY",38.2529,-85.735486,KY,40206-1629
172,Al J's Tavern,Pima,"4980 E 22nd St, Tucson AZ",32.206857,-110.885817,AZ,85711-4906
173,Alabama Abc Board,Lowndes,"110 Commerce St S, Hayneville AL",32.134945,-86.491071,AL,36040
174,Alabama Crown Distributing Co.,Mobile,"4476 Shipyard Rd, Mobile AL",30.597764,-88.141116,AL,36619-9524
175,Alabrew,Jefferson,"8916 Parkway E, Birmingham AL",33.581334,-86.710551,AL,35206-1519
176,Alachua Sports Pub,Alachua,"14003 N W 150 Ave, Alachua FL",29.792576,-82.49507,FL,32615
177,Alameda Brewhouse,Multnomah,"4765 N E Fremont St, Portland OR",45.548275,-122.613666,OR,97213-1724
178,Alameda Island Brewing Company,Alameda,"1716 Park St, Alameda CA",37.768577,-122.239139,CA,94501-1416
179,Alamo Beer Company,Bexar,"202 Lamar St, San Antonio TX",29.431397,-98.477348,TX,78202
180,Alamo City Microbrewery & Grill,,"Terminal A, San Antonio TX",29.41344,-98.71907,TX,78245
181,Alamo Draft House San Antonio,Bexar,"323 Broadway St, San Antonio TX",29.429242,-98.486649,TX,78205-1900
182,Alarmist Brewing,Cook,"4055 W Peterson Ave, Chicago IL",41.990031,-87.731255,IL,60646-6001
183,Alba Vineyard,Warren,"269 County Road 627, Milford NJ",40.5947,-75.186761,NJ,08848
184,Albany Pump Station,Albany,"19 Quackenbush Sq, Albany NY",42.65389,-73.747841,NY,12207-2311
185,Albee's Yacht Club,Oneida,"8290 Hwy 51 S, Minocqua WI",45.864532,-89.709052,WI,54548-9149
186,"Alberta Brewing Company, Alberta Brewing Co",Multnomah,"5316 N E 15th Ave, Portland OR",45.561916,-122.6497,OR,97211-4906
187,Albertville Tavern,Dunn,"8114 35th St, Colfax WI",44.959664,-91.60068,WI,54730-2356
188,Albia Brewing Company,Monroe,"11 Benton Ave E, Albia IA",41.027149,-92.808126,IA,52531-2032
189,Alcarr Lounge,Stark,"1801 Tuscarawas St W, Canton OH",40.800405,-81.3933,OH,44708-4936
190,Alcatraz Brewing Co,Orange,"20 W City Blvd (the Block At Orange), Orange CA",33.781072,-117.895278,CA,92868-3100
191,Alchemist Cannery,Washington,"35 Crossroad, Waterbury VT",44.350692,-72.74368,VT,05676-9003
192,Alchemist Pub and Brewery,Washington,"23 S Main Saint 2, Waterbury VT",44.337262,-72.755886,VT,05676-1806
193,Aldus Brewing Co,York,"555 Centennial Ave, Hanover PA",39.790738,-76.976507,PA,17331-3936
194,Ale Syndicate,Cook,"2601 W Diversey Ave, Chicago IL",41.932155,-87.692979,IL,60647-1817
195,Ale Ways Brewery Tours,,"1590 N E Weston Court The Double Tree Hotel, Salem OR",44.94951,-122.99134,OR,97301
196,Alehouse On Winslow,Kitsap,"500 Winslow Way E, Bainbridgeisle WA",47.624863,-122.514931,WA,98110-2418
197,Alesmith Brewing Company,San Diego,"9990 Alesmith Ct, San Diego CA",32.887268,-117.149383,CA,92126-4200
198,Alewerks,James City,"189 Ewell Rd, Williamsburg VA",37.320703,-76.733298,VA,23188-2185
199,Alexander J's,Genesee,"5490 Fenton Rd, Flint MI",42.94633,-83.692184,MI,48507-4033
200,Alexandria���s,Hancock,"132 E Crawford St, Findlay OH",41.037765,-83.648718,OH,45840-4803
201,Alibi Ale Works Brewery,Washoe,"204 E Enterprise, Incline Village NV",39.247472,-119.953846,NV,89451-9456
202,Alibi Tavern,Lane,"2422 Main St, Springfield OR",44.045845,-122.990088,OR,97477-5159
203,Alii Brewing Co,Honolulu,"500 Alakawa St, Honolulu HI",21.318621,-157.872849,HI,96817-4575
204,Alison Wines & Vineyards,Dutchess,"271 Pitcher Ln, Redhook NY",42.02873,-73.850115,NY,12571-2124
205,Alkies Liquor,Saint Lawrence,"227 N Main St, Massena NY",44.942657,-74.899394,NY,13662-1120
206,All About Brew,Fort Bend,"1410 E Highway 90a, Richmond TX",29.595444,-95.7394,TX,77406-4031
207,All About Brewing,San Diego,"700 N Johnson Ave, El Cajon CA",32.804507,-116.971085,CA,92020-2517
208,All About You,Mahaska,"601 N L St, Oskaloosa IA",41.301528,-92.659093,IA,52577-1958
209,All American Painting,Penobscot,"36 Century Street Brewer, Brewer ME",44.773718,-68.777084,ME,04412-2432
210,All Around Window Tinting,Bernalillo,"11915 Hopi Rd N E, Albuquerque NM",35.073138,-106.514373,NM,87123-3010
211,All Rise Brewing Company,Cook,"235 N Ashland Ave, Chicago IL",41.886374,-87.666929,IL,60607-1401
212,All Saints Brewing Company,Westmoreland,"Route 119 And Roseytown Rd, Greensburg PA",40.312344,-79.52566,PA,15601
213,Allegro Coffee Company,Duval County,"10601 San Jose Blvd, Jacksonville FL",30.184651,-81.627952,FL,32257
214,Allen Biermakens,Knox,"4111 Martin Mill Pike, Knoxville TN",35.933875,-83.913327,TN,37920-3030
215,Allen's Land Brewing Co,Harris,"3540 Oak Forest Dr, Houston TX",29.820149,-95.436374,TX,77018-6122
216,Alley Kat Bar,Wayne,"911 E Main St, Richmond IN",39.829047,-84.889871,IN,47374-4317
217,Allied Window Cleaning,Penobscot,"6 Doyle Ct, Brewer ME",44.791662,-68.766598,ME,04412-2121
218,Alltech,Clark,"555 Rolling Hills Ln, Winchester KY",38.013898,-84.177948,KY,40391-8102
219,Alltech Beverage Div,Jefferson,"1201 Story Ave, Louisville KY",38.255634,-85.72883,KY,40206-1713
220,Alltech Inc,Clark,"361 Rolling Hills Ln, Winchester KY",38.014623,-84.177953,KY,40391-9674
221,"Alltech, Inc.",Jessamine,"3031 Catnip Hill Pike, Nicholasville KY",37.932144,-84.555778,KY,40356-8700
222,Alltech's Lexington Brewing Company,Fayette,"401 Cross St, Lexington KY",38.049726,-84.509406,KY,40508-2806
223,Almanac Beer Co,San Francisco,"2325 3rd St, San Francisco CA",37.760245,-122.38843,CA,94107-3108
224,Aloha Beer Company,Honolulu,"580 N Nimitz Hwy, Honolulu HI",21.313942,-157.869613,HI,96817-5030
225,Alpha Brewery Co,Saint Louis City,"1409 Washington Ave, Stlouis MO",38.632455,-90.200095,MO,63103-1901
226,Alpine Beer Co,San Diego,"2351 Alpine Blvd, Alpine CA",32.835371,-116.762564,CA,91901-2202
227,Alpine Beer Company Pub,San Diego,"1347 Tavern Rd, Alpine CA",32.83618,-116.776966,CA,91901-3833
228,Alpine Dog Brewing Company,Denver,"1505 Ogden St, Denver CO",39.740665,-104.974761,CO,80218
229,Alpine Inn,Wapello,"1804 Albia Rd, Ottumwa IA",41.009174,-92.448685,IA,52501-3705
230,Alpine Travel Services Inc,Penobscot,"114 State St, Brewer ME",44.796312,-68.760809,ME,04412-5106
231,Altamont Brewery,Buncombe,"1042 Haywood Rd, Asheville NC",35.581628,-82.604077,NC,28806-2639
232,Alter Brewing Company,Dupage,"2300 Wisconsin Ave, Downers Grove IL",41.790179,-88.040161,IL,60515-2233
233,Altered Element - Commercial & Residential Only,Maricopa County,"Po Box 50508, Phoenix AZ",33.448204,-112.072585,AZ,
234,Alternative Beverage,Mecklenburg,"4450 South Blvd, Charlotte NC",35.180792,-80.875768,NC,28209-2673
235,Alternative Energy Inc,Penobscot,"797 Wilson St, Brewer ME",44.773093,-68.72592,ME,04412-1000
236,Alvin's Bar & Grill,Marion,"7417 N Shadeland Ave, Indianapolis IN",39.889379,-86.046099,IN,46250-2077
237,Amador Vintners Assn,Amador,"9310 Pacific St, Plymouth CA",38.475243,-120.849627,CA,95669-8400
238,Ambacht Brewing,Washington,"1060 N E 25th Ave, Hillsboro OR",45.533422,-122.956987,OR,97124-4903
239,Amcan Beverages Inc,Napa,"1201 Commerce Blvd, Americancanyon CA",38.19198,-122.272396,CA,94503-9611
240,American Beverage Equipment Co,Macomb,"27560 Groesbeck Hwy, Roseville MI",42.498078,-82.966037,MI,48066-2759
241,American Brewery Loft,Suffolk,"251 Heath St, Jamaica Plain MA",42.327623,-71.108831,MA,02130-1121
242,American Brewing Co.,Snohomish,"180 W Dayton St, Edmonds WA",47.809829,-122.386321,WA,98020-3552
243,American Fresh Brewhouse Beer Garden,Middlesex,"301 Canal St, Somerville MA",42.393952,-71.080801,MA,02145-4329
244,American Fruits & Flavors,Los Angeles,"10725 Sutter Ave, Pacoima CA",34.264743,-118.419313,CA,91331-2553
245,American Hard Cider Corp,Middlesex,"2345 Washington St, Newton MA",42.325457,-71.257233,MA,02462-1430
